,band_singer,ranking,song,title,genre,year,active_years
286,Jimmy Dean,87,Big Bad John,Big Bad John,['Country'],1961,1953–2010
287,Bobby Rydell,88,Good Time Baby,Good Time Baby,['Rock and roll'],1961,1950–2022
288,Bobby Vee,89,Rubber Ball,Rubber Ball,['Brill Building pop'],1961,1959–2014
289,Ray Peterson,90,Missing You,Missing You,['Country'],1961,1958–2004
290,Brenda Lee,91,Dum Dum,Dum Dum,['Pop'],1961,1951–present
291,Eddie Hodges,92,"[""I'm Gonna Knock on Your Door""]",I'm Gonna Knock on Your Door,['Pop'],1961,1953–1969
292,Brenda Lee,93,You Can Depend on Me,You Can Depend on Me,[],1961,1951–present
293,Chubby Checker,94,"[""Let's Twist Again""]",Let's Twist Again,['Rock and roll'],1961,1958–present
294,The Dave Brubeck Quartet,95,Take Five,Take Five,['West Coast cool jazz'],1961,2012
295,Elvis Presley,96,Are You Lonesome Tonight?,Are You Lonesome Tonight?,['Traditional pop'],1961,1953–1977
296,Don Gibson,97,Sea of Heartbreak,Sea of Heartbreak,['Country'],1961,1948–2003
297,The Four Preps,98,"""More Money for You and Me""","""More Money for You and Me""",[],1961,1956–present
298,Bobby Darin,99,You Must Have Been a Beautiful Baby,You Must Have Been a Beautiful Baby,[],1961,1956–1973
299,The Drifters,100,Please Stay,Please Stay,[],1961,1953–present
300,Acker Bilk,1,Stranger on the Shore,Stranger on the Shore,['Easy listening • Jazz'],1962,1954–2013
301,Ray Charles,2,"[""I Can't Stop Loving You""]",I Can't Stop Loving You,['Country'],1962,1947–2004
302,Dee Dee Sharp,3,Mashed Potato Time,Mashed Potato Time,"['R&B', 'pop']",1962,1961–present
303,Bobby Vinton,4,Roses Are Red (My Love),Roses Are Red (My Love),['Pop'],1962,1958–2015
304,David Rose,5,The Stripper,The Stripper,['Jazz'],1962,1939–1990
305,Shelley Fabares,6,Johnny Angel,Johnny Angel,['Pop'],1962,1947–2006
306,Little Eva,7,The Loco-Motion,The Loco-Motion,"['Pop', 'rhythm and blues']",1962,1961–1971 1987–2001
307,The Sensations,8,Let Me In,Let Me In,['R&B'],1962,
308,Chubby Checker,9,The Twist,The Twist,"['Rock and roll', 'pop']",1962,1958–present
309,The Shirelles,10,Soldier Boy,Soldier Boy,['R&B'],1962,1957–1982
310,Bruce Channel,11,Hey! Baby,Hey! Baby,['Pop'],1962,1959
311,Dion,12,The Wanderer,The Wanderer,"['Rhythm and blues', 'pop', 'rock and roll']",1962,1957–present
312,Gene Chandler,13,Duke of Earl,Duke of Earl,"['R&B', 'doo-wop']",1962,
313,Freddy Cannon,14,Palisades Park,Palisades Park,['Rock and roll'],1962,1956–present
314,Neil Sedaka,15,Breaking Up Is Hard to Do,Breaking Up Is Hard to Do,"['Brill Building', 'doo-wop']",1962,1957–present
315,Claude King,16,Wolverton Mountain,Wolverton Mountain,['Country'],1962,1961–2013
316,Chubby Checker,17,"[""Slow Twistin'""]",Slow Twistin',['R&Brock and rollsoul'],1962,1958–present 1961–present
317,Johnny Tillotson,18,"[""It Keeps Right On a-Hurtin'""]",It Keeps Right On a-Hurtin',['Country'],1962,1957–present
318,Mary Wells,19,The One Who Really Loves You,The One Who Really Loves You,['Soul'],1962,1960–1990
319,Elvis Presley,20,Good Luck Charm,Good Luck Charm,['Rock and rollpop'],1962,1953–1977
320,Kenny Ball,21,Midnight in Moscow,Midnight in Moscow,['Easy listening'],1962,1953–2013
321,Tommy Roe,22,Sheila,Sheila,"['Pop rock', 'rockabilly', 'Lubbock sound']",1962,1959–2018
322,Sam Cooke,23,"[""Twistin' the Night Away""]",Twistin' the Night Away,['Rhythm and blues'],1962,1951–1964
323,The Orlons,24,The Wah-Watusi,The Wah-Watusi,['R&B'],1962,1960–present
324,Joey Dee and the Starliters,25,Peppermint Twist,Peppermint Twist,['Rock and roll'],1962,1958–present
325,Brenda Lee,26,Break It to Me Gently,Break It to Me Gently,"['Vocal', 'country']",1962,1951–present
326,The Marvelettes,27,Playboy,Playboy,['Rhythm and blues'],1962,1960–1971
327,Nat King Cole,28,"[""Ramblin' Rose""]",Ramblin' Rose,[],1962,1934–1965
328,Brian Hyland,29,Sealed with a Kiss,Sealed with a Kiss,['Pop'],1962,1959–present
329,Jay and the Americans,30,She Cried,She Cried,['Rock'],1962,1960–1973 2006–present
330,Connie Francis,31,"[""Don't Break the Heart That Loves You""]",Don't Break the Heart That Loves You,['Country'],1962,1943–2018
331,Gary U.S. Bonds,32,Dear Lady Twist,Dear Lady Twist,['Rock and roll'],1962,1956–present
332,Sue Thompson,33,Norman,Norman,[],1962,1950
333,Ketty Lester,34,Love Letters,Love Letters,['Pop'],1962,1957–present
334,Claudine Clark,35,Party Lights,Party Lights,['R&B'],1962,
335,The Highwaymen,36,Cotton Fields,Cotton Fields,['Roots rock'],1962,
336,Bent Fabric,37,Alley Cat,Alley Cat,['Pop'],1962,
337,The Isley Brothers,38,Twist and Shout,Twist and Shout,['Rock and roll'],1962,1954–present
338,Richard Chamberlain,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Theme from Dr. Kildare (Three Stars Will Shine Tonight),[],1962,1958–present
339,Ace Cannon,40,Tuff,Tuff,['Blues rock'],1962,
340,Clyde McPhatter,41,Lover Please,Lover Please,['Rock and roll'],1962,1950–1972
341,Barbara George,42,"[""I Know (You Don't Love Me No More)""]",I Know (You Don't Love Me No More),['R&B'],1962,1961
342,Ricky Nelson,43,Young World,Young World,['Ballad'],1962,1949–1985
343,The Shirelles,44,"[""Baby It's You""]",Baby It's You,['Merseybeat'],1962,1957–1982
344,Pat Boone,45,Speedy Gonzales,Speedy Gonzales,['Pop'],1962,1954–present
345,Burl Ives,46,A Little Bitty Tear,A Little Bitty Tear,"['Country', 'pop', 'Nashville sound']",1962,1929–1993
346,The Everly Brothers,47,Crying in the Rain,Crying in the Rain,['Country'],1962,1951–1973 1983–2005
347,Emilio Pericoli,48,Al di là,Al di là,['Traditional pop music'],1962,
348,Ernie Maresca,49,Shout! Shout! (Knock Yourself Out),Shout! Shout! (Knock Yourself Out),"['Rock and roll', 'doo-wop']",1962,1957–1968
349,Don and Juan,50,"[""What's Your Name""]",What's Your Name,['Doo-wop'],1962,
350,The Corsairs,51,Smoky Places,Smoky Places,['Doo-wop'],1962,
351,Sam Cooke,52,Having a Party,Having a Party,"['Rhythm and blues', 'soul']",1962,1951–1964
352,"[""Booker T. & the M.G.'s""]",53,Green Onions,Green Onions,['Instrumental rocksoulR&B'],1962,1962–1971 1973–1977 1992–2012
353,Ray Charles,54,"[""You Don't Know Me""]",You Don't Know Me,['Country'],1962,1947–2004
354,The Four Seasons,55,Sherry,Sherry,['Doo-wop'],1962,1960–1977 1979–present
355,Joanie Sommers,56,Johnny Get Angry,Johnny Get Angry,['Pop'],1962,1959
356,Elvis Presley,57,"[""Can't Help Falling in Love""]",Can't Help Falling in Love,['Pop'],1962,1953–1977
357,Joey Dee and the Starliters,58,Shout,Shout,"['Rock and roll', 'gospel', 'R&B']",1962,1958–present
358,"Dave ""Baby"" Cortez",59,Rinky Dink,Rinky Dink,['Pop'],1962,1956-present
359,Henry Mancini,60,Moon River,Moon River,['Traditional pop'],1962,1946–1994
360,Ray Stevens,61,Ahab the Arab,Ahab the Arab,['Novelty'],1962,1957–present
361,Bobby Darin,62,Things,Things,['Pop rock'],1962,1956–1973
362,Gene Pitney,63,(The Man Who Shot) Liberty Valance,(The Man Who Shot) Liberty Valance,['Country pop'],1962,1958–2006
363,The Duprees,64,You Belong to Me,You Belong to Me,"['Ballad', 'traditional pop']",1962,
364,Roy Orbison,65,Dream Baby (How Long Must I Dream),Dream Baby (How Long Must I Dream),['Rockabilly'],1962,1953–1988
365,Joe Henderson,66,Snap Your Fingers,Snap Your Fingers,['R&B'],1962,
366,Dion,67,Lovers Who Wander,Lovers Who Wander,['Rock and roll'],1962,1957–present
367,Chris Montez,68,"[""Let's Dance""]",Let's Dance,"['Rock and roll', 'garage rock']",1962,1962–present
368,Johnny Crawford,69,"""Cindy's Birthday""","""Cindy's Birthday""",[],1962,1955–1999 2019
369,Mary Wells,70,You Beat Me to the Punch,You Beat Me to the Punch,['Soul'],1962,1960–1990
370,Barbara Lynn,71,"[""You'll Lose a Good Thing""]",You'll Lose a Good Thing,['Rhythm and blues'],1962,1962–present
371,The Crystals,72,Uptown,Uptown,[],1962,1960
372,Brenda Lee,73,Everybody Loves Me But You,Everybody Loves Me But You,['Vocal'],1962,1951–present
373,Dickey Lee,74,Patches,Patches,['Pop'],1962,1957–present
374,Jimmy Clanton,75,Venus in Blue Jeans,Venus in Blue Jeans,[],1962,1956–present
375,Paul Anka,76,"""Love Me Warm and Tender""","""Love Me Warm and Tender""",[],1962,1955–present
376,Rick Nelson,77,Teen Age Idol,Teen Age Idol,['Pop'],1962,1949–1985
377,Patsy Cline,78,"[""She's Got You""]",She's Got You,"['Countrypolitan', 'traditional pop']",1962,1948–1963
378,Larry Finnegan,79,Dear One,Dear One,['Pop'],1962,
379,James Darren,80,Her Royal Majesty,Her Royal Majesty,['Rock and roll'],1962,1956–present
380,Walter Brennan,81,Old Rivers,Old Rivers,['Country'],1962,1925–1972
381,Burl Ives,82,"[""Funny Way of Laughin'""]",Funny Way of Laughin',['Folk'],1962,1929–1993
382,Billy Vaughn,83,"[""A Swingin' Safari""]",A Swingin' Safari,['Instrumental'],1962,1952–1972
383,Dick and Dee Dee,84,"""Tell Me""","""Tell Me""",[],1962,1960–1969
384,Jimmy Dean,85,PT-109,PT-109,['Country Pop'],1962,1953–2010
385,Dion,86,Little Diane,Little Diane,['Rock and roll'],1962,1957–present
386,Billy Joe and the Checkmates,87,"""Percolator (Twist)""","""Percolator (Twist)""",[],1962,
387,Gary U.S. Bonds,88,"Twist, Twist Senora","Twist, Twist Senora",['Rock and roll'],1962,1956–present
388,Jimmy Soul,89,"""Twistin' Matilda""","""Twistin' Matilda""",[],1962,
389,Dee Dee Sharp,90,"""Gravy (For My Mashed Potatoes)""","""Gravy (For My Mashed Potatoes)""",[],1962,1961–present
390,Jimmy Smith,91,"""Walk on the Wild Side""","""Walk on the Wild Side""",[],1962,1956–2005
391,King Curtis,92,Soul Twist,Soul Twist,['R&B'],1962,1950–1971
392,Bobby Rydell,93,"[""I'll Never Dance Again""]",I'll Never Dance Again,['Pop'],1962,1950–2022
393,The Ikettes,94,"[""I'm Blue (The Gong-Gong Song)""]",I'm Blue (The Gong-Gong Song),"['R&B', 'Soul']",1962,1960–1976 1988
394,The Kingston Trio,95,Where Have All the Flowers Gone?,Where Have All the Flowers Gone?,['Label'],1962,1957
395,Eddie Hodges,96,"""(Girls, Girls, Girls) Made to Love""","""(Girls, Girls, Girls) Made to Love""",[],1962,1953–1969
396,Gene Pitney,97,Town Without Pity,Town Without Pity,[],1962,1958–2006
397,"Peter, Paul and Mary",98,If I Had a Hammer,If I Had a Hammer,['Folk'],1962,1961 1961 1970 1970 1978 1978 2009 2009
398,Ronnie & the Hi-Lites,99,"""I Wish That We Were Married""","""I Wish That We Were Married""",[],1962,
399,The Beach Boys,100,"[""Surfin' Safari""]",Surfin' Safari,['Surf rock'],1962,1961–present
400,The Beach Boys,1,"[""Surfin' U.S.A.""]",Surfin' U.S.A.,['Vocal surfrock and roll'],1963,1961–present
401,Skeeter Davis,2,The End of the World,The End of the World,['Country pop'],1963,1947–2004
402,The Cascades,3,Rhythm of the Rain,Rhythm of the Rain,['Pop'],1963,1960–1975 1995 2004 2012
403,The Chiffons,4,"[""He's So Fine""]",He's So Fine,"['Pop', 'doo-wop']",1963,1960–present
404,Bobby Vinton,5,Blue Velvet,Blue Velvet,['Traditional pop'],1963,1958–2015
405,Paul & Paula,6,Hey Paula,Hey Paula,['Pop'],1963,
406,Little Stevie Wonder,7,Fingertips,Fingertips,"['R&B', 'soul']",1963,1961–present
407,Andy Williams,8,"[""Can't Get Used to Losing You""]",Can't Get Used to Losing You,['Easy listening'],1963,1938–2012
408,The Angels,9,"[""My Boyfriend's Back""]",My Boyfriend's Back,['Pop'],1963,1958–1969
409,Kyu Sakamoto,10,Sukiyaki,Sukiyaki,['Kayōkyoku'],1963,1958–1959 1959–1960 1961–1985
410,The Tymes,11,So Much in Love,So Much in Love,['Doo-wop'],1963,1956
411,"Peter, Paul and Mary",12,"Puff, the Magic Dragon","Puff, the Magic Dragon","['Pop', 'folk', 'Children’s music']",1963,1961 1961 1970 1970 1978 1978 2009 2009
412,"Peter, Paul and Mary",13,"[""Blowin' in the Wind""]",Blowin' in the Wind,['Folk'],1963,1961 1961 1970 1970 1978 1978 2009 2009
413,The Surfaris,14,Wipe Out,Wipe Out,['Surf rockinstrumental rock'],1963,1962–1966 1973 1976 1981–2017 2000
414,Al Martino,15,I Love You Because,I Love You Because,['Country'],1963,1948–2009
415,The Rebels,16,Wild Weekend,Wild Weekend,['Surf'],1963,
416,Bobby Darin,17,re the Reason I,You're the Reason I'm Living,['Pop'],1963,1956–1973
417,The Four Seasons,18,Walk Like a Man,Walk Like a Man,['Rock and roll'],1963,1960–1977 1979–present
418,Inez and Charlie Foxx,19,Mockingbird,Mockingbird,['Soul'],1963,1963–1971
419,Little Peggy March,20,I Will Follow Him,I Will Follow Him,['Pop'],1963,1962
420,The Chantays,21,Pipeline,Pipeline,['Surf rock'],1963,1961–present
421,Jan and Dean,22,Surf City,Surf City,['Vocal surf'],1963,1958–1968 1973 1976–2004
422,Lesley Gore,23,"[""It's My Party""]",It's My Party,['Popblue-eyed soul'],1963,1963–2014
423,Eydie Gormé,24,Blame It on the Bossa Nova,Blame It on the Bossa Nova,"['Traditional pop', 'rock and roll']",1963,1950–2009
424,The Dovells,25,"[""You Can't Sit Down""]",You Can't Sit Down,[],1963,
425,Martha and the Vandellas,26,Heat Wave,Heat Wave,['Soul'],1963,1957–1972
426,Randy & the Rainbows,27,Denise,Denise,['Doo-wop'],1963,1962 1962
427,The Rooftop Singers,28,Walk Right In,Walk Right In,['Folk'],1963,1962–1967
428,Jimmy Soul,29,If You Wanna Be Happy,If You Wanna Be Happy,['Doo-wop'],1963,
429,Trini Lopez,30,If I Had a Hammer,If I Had a Hammer,['Folk'],1963,1959–2020
430,The Essex,31,Easier Said Than Done,Easier Said Than Done,['Pop'],1963,
431,Dion,32,Ruby Baby,Ruby Baby,['Country'],1963,1957–present
432,Ruby & the Romantics,33,Our Day Will Come,Our Day Will Come,['R&B'],1963,
433,Barbara Lewis,34,Hello Stranger,Hello Stranger,['R&B'],1963,1962 2017
434,The Ronettes,35,Be My Baby,Be My Baby,['PopR&B'],1963,1957–1967 1973–1974
435,The Orlons,36,South Street,South Street,['R&B'],1963,1960–present
436,Henry Mancini,37,Days of Wine and Roses,Days of Wine and Roses,['Easy listening'],1963,1946–1994
437,Major Lance,38,The Monkey Time,The Monkey Time,['R&B'],1963,1959–1994
438,The Four Seasons,39,Candy Girl,Candy Girl,['Pop'],1963,1960–1977 1979–present
439,Jimmy Gilmer and the Fireballs,40,Sugar Shack,Sugar Shack,"['Garage rock', 'rock and roll']",1963,1957
440,Bill Anderson,41,Still,Still,['Country'],1963,1957–present
441,Bobby Vinton,42,Blue on Blue,Blue on Blue,['Pop'],1963,1958–2015
442,Garnet Mimms,43,Cry Baby,Cry Baby,['Soul blues'],1963,1953–1978
443,Lou Christie,44,Two Faces Have I,Two Faces Have I,['Pop'],1963,1962–present
444,Ray Charles,45,Busted,Busted,['Country'],1963,1947–2004
445,The Crystals,46,Da Doo Ron Ron,Da Doo Ron Ron,"['R&B', 'pop', 'rock and roll']",1963,1960
446,The Shirelles,47,Foolish Little Girl,Foolish Little Girl,['R&B'],1963,1957–1982
447,Lonnie Mack,48,Memphis,Memphis,"['Rhythm and blues', 'rock and roll']",1963,1954–2004
448,Roy Orbison,49,In Dreams,In Dreams,"['Pop', 'Rock']",1963,1953–1988
449,Kai Winding,50,More,More,['Easy listening'],1963,1940–1983
450,Skeeter Davis,51,"[""I Can't Stay Mad at You""]",I Can't Stay Mad at You,"['Country', 'girl group']",1963,1947–2004
451,Brenda Lee,52,Losing You,Losing You,['Pop'],1963,1951–present
452,Roy Orbison,53,Mean Woman Blues,Mean Woman Blues,['Rock and roll'],1963,1953–1988
453,Bill Pursell,54,Our Winter Love,Our Winter Love,['Easy listening'],1963,
454,Tony Bennett,55,I Wanna Be Around,I Wanna Be Around,"['Jazz', 'traditional pop']",1963,1936–2021
455,The Miracles,56,"[""You've Really Got a Hold on Me""]",You've Really Got a Hold on Me,['Soul'],1963,1955–1983 1993–2011
456,The Jaynetts,57,"[""Sally Go 'Round the Roses""]",Sally Go 'Round the Roses,"['R&B', 'pop']",1963,
457,Elvis Presley,58,"[""(You're the) Devil in Disguise""]",(You're the) Devil in Disguise,"['Rock and roll', 'pop']",1963,1953–1977
458,Nat King Cole,59,Those Lazy-Hazy-Crazy Days of Summer,Those Lazy-Hazy-Crazy Days of Summer,['Easy listening'],1963,1934–1965
459,Jackie Wilson,60,Baby Workout,Baby Workout,['R&B'],1963,1953–1975
460,Marvin Gaye,61,Pride and Joy,Pride and Joy,"['Rhythm and blues', 'soul']",1963,1957–1984
461,Nino Tempo & April Stevens,62,Deep Purple,Deep Purple,['Pop'],1963,
462,Ned Miller,63,From a Jack to a King,From a Jack to a King,['Country'],1963,1956–1970
463,The Drifters,64,Up on the Roof,Up on the Roof,['R&Bsoulpop'],1963,1953–present
464,Johnny Mathis,65,What Will Mary Say,What Will Mary Say,['Easy listening'],1963,1956–present
465,Jan Bradley,66,"""Mama Didn't Lie""","""Mama Didn't Lie""",[],1963,1962–1971
466,Bobby Vee,67,The Night Has a Thousand Eyes,The Night Has a Thousand Eyes,['Pop'],1963,1959–2014
467,The Cookies,68,t Say Nothin,Don't Say Nothin' Bad (About My Baby),['Pop rock'],1963,1954–1958 1962–1967
468,Johnny Cash,69,Ring of Fire,Ring of Fire,['Country'],1963,1954–2003
469,Doris Troy,70,Just One Look,Just One Look,['Rhythm and blues'],1963,1962–1974
470,Allan Sherman,71,"Hello Muddah, Hello Fadduh (A Letter from Camp)","Hello Muddah, Hello Fadduh (A Letter from Camp)",['Novelty song'],1963,1951–1973
471,Lesley Gore,72,"[""Judy's Turn to Cry""]",Judy's Turn to Cry,"['Pop', 'rock']",1963,1963–2014
472,Rolf Harris,73,"Tie Me Kangaroo Down, Sport","Tie Me Kangaroo Down, Sport","['Folk', 'pop', 'comedy', 'novelty']",1963,1953–2013
473,Rick Nelson,74,Fools Rush In,Fools Rush In,['Swing'],1963,1949–1985
474,The Village Stompers,75,Washington Square,Washington Square,"['Pop', 'Dixieland jazz', 'instrumental']",1963,
475,Dion,76,Donna the Prima Donna,Donna the Prima Donna,['Rock and roll'],1963,1957–present
476,Nat King Cole,77,"That Sunday, That Summer","That Sunday, That Summer",[],1963,1934–1965
477,Sam Cooke,78,Another Saturday Night,Another Saturday Night,"['R&B', 'soul']",1963,1951–1964
478,Al Martino,79,"""Painted, Tainted Rose""","""Painted, Tainted Rose""",[],1963,1948–2009
479,Steve Lawrence,80,Go Away Little Girl,Go Away Little Girl,['Pop'],1963,1953–2019
480,Ray Charles,81,Take These Chains from My Heart,Take These Chains from My Heart,"['Country & Western', 'Honky-tonk', 'Country blues']",1963,1947–2004
481,Sunny & the Sunglows,82,Talk to Me,Talk to Me,['Rhythm and blues'],1963,
482,Martha and the Vandellas,83,Come and Get These Memories,Come and Get These Memories,['Soul'],1963,1957–1972
483,Dee Dee Sharp,84,"""Do the Bird""","""Do the Bird""",[],1963,1961–present
484,The Impressions,85,"[""It's All Right""]",It's All Right,['Soul'],1963,1958–2018
485,The Beach Boys,86,Shut Down,Shut Down,['Hot rod rockcar song'],1963,1961–present
486,The Chiffons,87,One Fine Day,One Fine Day,['Pop'],1963,1960–present
487,Del Shannon,88,Little Town Flirt,Little Town Flirt,['Pop rock'],1963,1958–1989
488,Joe Harnell,89,Fly Me to the Moon,Fly Me to the Moon,['Jazz'],1963,1950–2002
489,The Kingston Trio,90,The Reverend Mr. Black,The Reverend Mr. Black,['Folk'],1963,1957
490,The Dartells,91,"""Hot Pastrami""","""Hot Pastrami""",[],1963,
491,The Ran-Dells,92,Martian Hop,Martian Hop,"['Doo-wop', 'novelty', 'pop']",1963,
492,The Tymes,93,Wonderful! Wonderful!,Wonderful! Wonderful!,['Jazz'],1963,1956
493,George Hamilton IV,94,Abilene,Abilene,['Country'],1963,1956–2014
494,Little Johnny Taylor,95,Part Time Love,Part Time Love,['R&B'],1963,
495,Los Indios Tabajaras,96,Maria Elena,Maria Elena,['Instrumental'],1963,
496,Bobby Bare,97,Detroit City,Detroit City,['Country'],1963,1956–present
497,Chubby Checker,98,Twenty Miles,Twenty Miles,['Rock and roll'],1963,1958–present
498,The New Christy Minstrels,99,"Green, Green","Green, Green",['Folk'],1963,1961–1971 1976–present
499,Freddie Scott,100,Hey Girl,Hey Girl,['Pop'],1963,1956–2003
500,The Beatles,1,I Want to Hold Your Hand,I Want to Hold Your Hand,['Rock and rollpop'],1964,1960–1970
